,Наименование вакансии,Ссылка на вакансию,Минимальная з/п,Максимальная з/п,Валюта
88,Химик-аналитик в ветеринарное подразделение,https://kazan.hh.ru/vacancy/46497044?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
89,Инженер-химик,https://kazan.hh.ru/vacancy/46173997?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,30000.0,,руб.
90,Инженер-химик (г.Канск),https://kazan.hh.ru/vacancy/41080461?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,25000.0,,руб.
91,Химик (ИФА),https://kazan.hh.ru/vacancy/44686529?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
92,Инженер-химик входного сырья,https://kazan.hh.ru/vacancy/41070405?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,52000.0,,руб.
93,Инженер-химик,https://kazan.hh.ru/vacancy/46995122?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,25000.0,25000.0,руб.
94,Инженер-химик,https://kazan.hh.ru/vacancy/46858814?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,45000.0,,руб.
95,Инженер-технолог (химик) в цех гальванопокрытий,https://kazan.hh.ru/vacancy/45525126?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,25000.0,,руб.
96,Инженер-химик,https://kazan.hh.ru/vacancy/46404704?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,30500.0,37600.0,руб.
97,Техник-химик в лабораторию,https://kazan.hh.ru/vacancy/46798461?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,25000.0,руб.
98,Инженер-химик,https://kazan.hh.ru/vacancy/41449158?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,48000.0,,руб.
99,Инженер-химик,https://kazan.hh.ru/vacancy/45536516?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,20000.0,25000.0,руб.
100,Инженер-химик,https://kazan.hh.ru/vacancy/46819081?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,35000.0,,руб.
101,Лаборант химик-технолог,https://kazan.hh.ru/vacancy/46057067?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,37000.0,40000.0,руб.
102,Химик-аналитик операционного контроля,https://kazan.hh.ru/vacancy/45768311?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
103,Химик-технолог,https://kazan.hh.ru/vacancy/46108682?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,42000.0,42000.0,руб.
104,Химик-аналитик,https://kazan.hh.ru/vacancy/46943897?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,22500.0,руб.
105,Инженер по качеству (Химико-аналитическая лаборатория),https://kazan.hh.ru/vacancy/46838784?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
106,Инженер-химик пищевого производства,https://kazan.hh.ru/vacancy/47012285?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,48469.0,руб.
107,Инженер-химик,https://kazan.hh.ru/vacancy/44363842?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,20000.0,руб.
108,Лаборант (инженер-химик),https://kazan.hh.ru/vacancy/46820025?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,35000.0,,руб.
109,Химик - хроматографист,https://kazan.hh.ru/vacancy/44770035?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
110,Инженер по качеству (Химико-аналитическая лаборатория),https://kazan.hh.ru/vacancy/46838783?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
111,Инженер-лаборант (химик),https://kazan.hh.ru/vacancy/44481482?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
112,Инженер-химик,https://kazan.hh.ru/vacancy/44201967?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,35000.0,,руб.
113,Химик-синтетик,https://kazan.hh.ru/vacancy/46934627?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
114,Химик-эксперт,https://kazan.hh.ru/vacancy/46829378?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
115,"Химик-аналитик (""мокрая химия"")",https://kazan.hh.ru/vacancy/46626487?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,70000.0,,руб.
116,Инженер-химик (производство микроэлектроники),https://kazan.hh.ru/vacancy/45869794?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,40000.0,,руб.
117,Химик/сотрудник лаборатории,https://kazan.hh.ru/vacancy/44906417?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
118,Инженер лаборатории химического и спектрального анализа,https://kazan.hh.ru/vacancy/46598353?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,30000.0,35000.0,руб.
119,Химик,https://kazan.hh.ru/vacancy/46831147?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
120,Химик-хроматографист,https://kazan.hh.ru/vacancy/42998693?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
121,Инженер-химик,https://kazan.hh.ru/vacancy/46864763?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
122,Ведущий химик-разработчик ЛКМ,https://kazan.hh.ru/vacancy/37297434?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,100000.0,,руб.
123,Инженер-лаборант пробирного отделения (Химико-аналитическая лаборатория),https://kazan.hh.ru/vacancy/46839067?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
124,Инженер-химик,https://kazan.hh.ru/vacancy/46118680?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,60000.0,65000.0,руб.
125,Инженер-химик/Инженер по качеству в ст. Старовеличковскую,https://kazan.hh.ru/vacancy/46922880?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,30000.0,,руб.
126,Инженер-химик,https://kazan.hh.ru/vacancy/46829157?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,30000.0,,руб.
127,Инженер-химик,https://kazan.hh.ru/vacancy/46813420?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
128,Химик-синтетик (фармацевтика),https://kazan.hh.ru/vacancy/43751572?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,70000.0,,руб.
129,Инженер по качеству (Химико-аналитическая лаборатория),https://kazan.hh.ru/vacancy/46838786?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
130,Инженер-химик,https://kazan.hh.ru/vacancy/44544183?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
131,Инженер по качеству (Химико-аналитическая лаборатория),https://kazan.hh.ru/vacancy/46838788?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
132,Инженер-химик,https://kazan.hh.ru/vacancy/45891291?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,37200.0,44300.0,руб.
133,Химик-аналитик / Старший химик-аналитик (Отдел разработки аналитических методов),https://kazan.hh.ru/vacancy/45964777?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,110000.0,руб.
134,Инженер-метролог-химик,https://kazan.hh.ru/vacancy/46794229?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,70000.0,,руб.
135,Главный химик,https://kazan.hh.ru/vacancy/46779222?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,140000.0,руб.
136,Инженер-химик,https://kazan.hh.ru/vacancy/46104195?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,57464.0,60457.0,руб.
137,Химик-технолог,https://kazan.hh.ru/vacancy/46972747?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
